ItemID|ConfigType|ItemType|ItemName|WeaponAttack|WeaponDex|WeaponStrength|WeaponCon|WeaponLuk|WeaponRoll|WeaponHitRate|WeaponArmorPenetration|WeaponCritical|ArmorDefence|ArmorDex|ArmorStrength|ArmorCon|ArmorLuk|ArmorRoll|ArmorDodgeRate|ConsumableHpIncrease|ConsumableHealthIncrease|Stackable|StackingLimit|ItemInfomation|UseLevel|EquipDex|EquipStrength|EquipLuk
int|string|string|string|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|int|string|int|int|int|int
1|Weapon|剑|乌木剑|15|5|5|5|5|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|乌木削制而成，比寻常兵器更为锋利。|0|5|5|0
2|Weapon|剑|铁剑|18|6|6|8|5|0|13|0|1|0|0|0|0|0|0|0|0|0|0|0|生铁打造而成，武者常选。|5|10|5|0
3|Weapon|剑|精钢剑|22|7|7|10|5|0|15|1|2|0|0|0|0|0|0|0|0|0|0|0|由精钢百炼制成，比普通铁剑更为锋利。|10|15|5|0
4|Weapon|剑|玄铁剑|25|8|8|12|5|0|17|1|3|0|0|0|0|0|0|0|0|0|0|0|相传为天山玄铁打造，锋利无比，斩厚甲如破白衣。|15|20|5|0
5|Weapon|剑|斩帝剑|30|10|10|15|5|0|20|2|5|0|0|0|0|0|0|0|0|0|0|0|据传为西楚霸王项羽佩剑，上斩苍天，下斩帝王，无坚不摧。|20|25|5|0
6|Weapon|刀|乌木刀|20|0|5|5|5|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|乌木制成的木刀，轻便锋利，备受新人刀客喜爱。|0|5|10|0
7|Weapon|刀|笔刀|23|1|8|8|5|0|1|2|1|0|0|0|0|0|0|0|0|0|0|0|铁刀的一种，不弯反直，形似笔杆，故得名笔刀。|5|5|15|0
8|Weapon|刀|眉尖刀|27|2|10|10|5|0|1|3|2|0|0|0|0|0|0|0|0|0|0|0|以峨眉细刃刀改制而来，刀身轻薄但威力不减，适于武者轻装行动。|10|5|20|0
9|Weapon|刀|凤嘴刀|30|3|12|12|5|0|2|3|3|0|0|0|0|0|0|0|0|0|0|0|由凤嘴长刀改制而来，刀头呈圆弧状，刀刃锋利，刀背斜阔，适合近身搏杀。|15|5|25|0
10|Weapon|刀|斩岳刀|35|5|15|15|5|0|3|4|5|0|0|0|0|0|0|0|0|0|0|0|举刀时，夺魄四方，落刀处，劈山断岳。|20|5|30|0
11|Weapon|锤|木锤|30|-5|10|10|5|0|-5|0|5|0|0|0|0|0|0|0|0|0|0|0|普通木锤，杀伤力大但不易操纵。|0|5|15|0
12|Weapon|锤|镔铁锤|35|-4|13|13|5|0|-4|0|8|0|0|0|0|0|0|0|0|0|0|0|镔铁所制，挥动时虎虎生风，威力巨大。|5|5|20|0
13|Weapon|锤|亮银锤|40|-3|15|15|5|0|-3|1|12|0|0|0|0|0|0|0|0|0|0|0|锤头亮如白银，散发着凶冷之气，非大力者不可驾驭。|10|5|25|0
14|Weapon|锤|八棱梅花锤|45|-2|17|17|5|0|-2|1|15|0|0|0|0|0|0|0|0|0|0|0|相传为岳云所用，纵横敌阵，无人可挡。|15|5|30|0
15|Weapon|锤|擂鼓瓮金锤|50|0|20|20|5|0|0|2|20|0|0|0|0|0|0|0|0|0|0|0|西府赵王李元霸的心爱兵器，非天生神力无法驾驭，据说挥舞时有金铁相击之声，无一合之将。|20|5|35|0
16|Armor|布甲|粗布甲|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|0|粗布制作的衣服，几乎没有防护能力。|0|5|0|0
17|Armor|布甲|打行衫|0|0|0|0|0|0|0|0|0|3|8|0|2|1|0|0|0|0|0|0|打行制服，包裹了全身部位，没有下摆，便于街头巷斗。|5|10|0|0
18|Armor|布甲|夜行衣|0|0|0|0|0|0|0|0|0|6|12|0|3|3|0|0|0|0|0|0|特制的黑色紧身衣，兼顾轻便透气与防护，常用于夜间突袭。|10|15|0|0
19|Armor|布甲|凌波服|0|0|0|0|0|0|0|0|0|10|15|0|5|5|0|0|0|0|0|0|绸缎制成的名贵衣服，以金线缝制，寻常刀剑不能破。|15|20|0|0
20|Armor|皮甲|旧革衣|0|0|0|0|0|0|0|0|0|10|0|0|5|0|0|0|0|0|0|0|破旧的皮革衣服，只包裹了胸腹等要害部位。|0|10|5|0
21|Armor|皮甲|兽皮衣|0|0|0|0|0|0|0|0|0|13|1|0|6|1|0|0|0|0|0|0|兽皮制成的甲衣，轻便且防护力不俗。|5|15|5|0
22|Armor|皮甲|硬革甲|0|0|0|0|0|0|0|0|0|16|3|0|8|3|0|0|0|0|0|0|胸口和后背有硬革甲片的加强版皮衣，防护力很强。|10|20|5|0
23|Armor|皮甲|软猬甲|0|0|0|0|0|0|0|0|0|20|5|0|10|5|0|0|0|0|0|0|以金丝、兽皮和千年滕枝混合编织而成的，刀枪不入，不畏严寒。|15|25|5|0
24|Armor|链甲|棉甲|0|0|0|0|0|0|0|0|0|20|0|0|10|0|0|0|0|0|0|0|内衬棉片的厚甲，防护力强。|5|5|10|0
25|Armor|链甲|轻锁甲|0|0|0|0|0|0|0|0|0|23|0|0|11|1|0|0|0|0|0|0|轻型环锁甲，胸腹部位有加强防护。|10|5|15|0
26|Armor|链甲|环锁甲|0|0|0|0|0|0|0|0|0|26|0|0|13|3|0|0|0|0|0|0|以细小铁环串合制作的精制护甲，对胸、腹、腿、臂均有很强的保护作用。|15|5|20|0
27|Armor|链甲|山文甲|0|0|0|0|0|0|0|0|0|30|0|0|15|5|0|0|0|0|0|0|胸口覆以明光护心镜，甲片形如“山”字，外形美观，防护力强，属于顶级护甲。|20|5|25|0
28|Armor|扎甲|鱼鳞扎甲|0|0|0|0|0|0|0|0|0|30|-10|0|15|0|0|0|0|0|0|0|以形如鱼鳞的甲片制作的全身护甲，寻常兵器难以突破防护，但穿着行动不便。|10|5|15|0
29|Armor|扎甲|明光铠|0|0|0|0|0|0|0|0|0|33|-8|0|16|1|0|0|0|0|0|0|由西域大量引进的铠甲，以防护力强著称，且较鱼鳞甲更为轻便。|15|5|20|0
30|Armor|扎甲|黑金柳叶扎甲|0|0|0|0|0|0|0|0|0|36|-4|0|18|3|0|0|0|0|0|0|以黑色铁片和金色兽头配饰组成，有打札、粗磨、穿孔、错穴、并裁札、错稜、精磨等十余道工序，制作耗时极长，十分珍贵。|20|5|25|0
31|Armor|扎甲|铁浮图甲|0|0|0|0|0|0|0|0|0|40|0|0|20|5|0|0|0|0|0|0|顶级步人甲，穿着者刀枪不入，不惧任何攻击。|25|5|30|0
32|Consumables|药品|跌打散|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|1|10|寻常草药，有活血化瘀之效。|1|0|0|0
33|Consumables|药品|止血丸|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|1|10|特制止血丸，江湖中人常备，用于止血急救。|1|0|0|0
34|Consumables|药品|金疮药|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|300|5|1|10|刀斧损伤，跌仆打碎，立竿见影。|1|0|0|0
35|Consumables|药品|九转丹|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|500|10|1|10|皇家秘药，据传有续断骨，活死人之效。|1|0|0|0
36|Consumables|补品|生肌膏|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|1|10|温养药品，可加快身体恢复。|1|0|0|0
37|Consumables|补品|壮骨散|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|1|10|滋补药品，常用于强筋健骨，也可用于伤势恢复。|1|0|0|0
38|Consumables|补品|人参汤|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|1|10|药中至品，可滋阴补阳，延年益寿。|1|0|0|0
39|Consumables|补品|蜕骨金丹|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|40|1|10|西域圣药，据传可洗髓涤骨，提高武者根基，极为稀少。|1|0|0|0
40|Materials|木材|樟木|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|香味浓烈，可使诸虫远避。|0|0|0|0
41|Materials|木材|柏木|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|色黄、质细、气馥、耐水、耐腐，幽香沁脾，属名贵木料。|0|0|0|0
42|Materials|木材|杨木|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|质细软，性稳，价廉易得，是造物佳材。|0|0|0|0
43|Materials|木材|桦木|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|质地细腻柔软且光滑，富有弹性，属中档木材。|0|0|0|0
44|Materials|矿物|铜矿|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|普通黄铜矿石，是冶炼的基础材料。|0|0|0|0
45|Materials|矿物|铁矿|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|进阶矿石，是兵器的必备材料。|0|0|0|0
46|Materials|矿物|黑铁矿|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|稀有的高级矿石，常用于高级兵器打造。|0|0|0|0
47|Materials|矿物|金刚石|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|珍惜矿石，世间罕见。|0|0|0|0
48|TaskItems|任务物品|张三的信|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|张三写给村口王二妮的信。|0|0|0|0

