SkillID|SkillType|SkillQuality|SkillLv|SkillName|SkillTime|SkillAtk|SkillRoll|SkillHitRate|SkillDex|SkillArmorPen|SkillCrit|UseLv|SkillDodge|SkillRoll|SkillAtk|SkillDef|SkillInfo
int|string|string|string|string|int|int|int|int|int|int|int|int|int|int|int|int|string
1|剑|白|凡品|基础剑法|1|5|2|5|0|0|5|1|0|0|0|0|基础剑法
2|剑|白|出类|基础剑法|1|6|2|6|0|0|5|1|0|0|0|0|基础剑法
3|剑|白|超绝|基础剑法|1|7|2|7|0|0|5|1|0|0|0|0|基础剑法
4|剑|白|独步|基础剑法|1|10|5|10|0|0|5|1|0|0|0|0|基础剑法
5|剑|蓝|凡品|三柴剑法·起势|1|8|3|5|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
6|剑|蓝|出类|三柴剑法·起势|1|9|3|6|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
7|剑|蓝|超绝|三柴剑法·起势|1|10|3|7|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
8|剑|蓝|独步|三柴剑法·起势|1|13|6|10|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
9|剑|蓝|凡品|三柴剑法·夺先|1|5|5|5|1|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
10|剑|蓝|出类|三柴剑法·夺先|1|6|5|6|2|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
11|剑|蓝|超绝|三柴剑法·夺先|1|7|5|7|3|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
12|剑|蓝|独步|三柴剑法·夺先|1|10|8|10|5|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
13|剑|蓝|凡品|三柴剑法·横贯|1|10|3|5|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
14|剑|蓝|出类|三柴剑法·横贯|1|11|3|6|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
