英文变量|中文对照
ItemID|物品ID
ConfigType|所属配置表
ItemType|物品类别
ItemName|物品名称
WeaponAttack|武器攻击力
WeaponDex|武器身法加成
WeaponStrength|武器力道加成
WeaponCon|武器体质加成
WeaponLuk|武器根骨加成
WeaponRoll|武器速度加成
WeaponHitRate|武器命中率
WeaponArmorPenetration|武器破甲值
WeaponCritical|武器暴击率
ArmorDefence|护甲防御值
ArmorDex|护甲身法加成
ArmorStrength|护甲力道加成
ArmorCon|护甲体质加成
ArmorLuk|护甲根骨加成
ArmorRoll|护甲速度加成
ArmorDodgeRate|护甲闪避率
ConsumableHpIncrease|消耗品生命值回复数值
ConsumableHealthIncrease|消耗品健康度回复数值
Stackable|是否可叠加
StackingLimit|叠加上限
ItemInfomation|物品说明
UseLevel|物品装备等级需求
EquipDex|物品装备身法需求
EquipStrength|物品装备力道需求
EquipLuk|物品装备根骨需求

